SID;NAME;type_tempete;Pays;LAT;LON;intensite;ISO_TIME;population_touchee;accessibilite;Unnamed: 10;Unnamed: 11;source;pays_concerne
1949317N09158;ALLYN;typhon;;23.0;133.2;7.0;22/11/1949;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Japon
1949341N10142;CAMILLA;typhon;;21.2;122.1;7.0;12/12/1949;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Philippines
1950126N09151;DORIS;typhon;;25.1;137.3;7.0;12/05/1950;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Japon
1950174N19127;ELSIE;typhon;;21.9;126.2;7.0;23/06/1950;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Taïwan
1950196N21144;FLOSSIE:GRACE;typhon;;25.8;133.8;7.0;17/07/1950;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Japon
1950206N22143;HELENE;typhon;;21.6;142.9;7.0;24/07/1950;50000.0;0.3;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/?storm=1950206N22143;Japon
1950221N19124;IDA;typhon;;21.2;129.5;7.0;10/08/1950;50000.0;0.4;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/?storm=1950221N19124;Japon
1950224N17305;ABLE;ouragan;;34.4;-74.3;5.0;20/08/1950;50000.0;0.7;;False;National Hurricane Center (NHC) - https://www.nhc.noaa.gov/archive/1950/ABLE.shtml;États-Unis
1950231N12306;BAKER;ouragan;;30.2;-88.0;7.0;31/08/1950;50000.0;0.7;;False;National Hurricane Center (NOAA) - https://www.nhc.noaa.gov/data/hurdat/hurdat2-1851-2022-041123.txt;États-Unis
1950234N11334;CHARLIE;ouragan;;40.0;-55.8;7.0;05/09/1950;50000.0;0.7;;False;National Hurricane Center (NHC) - https://www.nhc.noaa.gov/data/hurdat/hurdat2-1851-2022-041123.txt;Canada
1950241N23140;JANE;typhon;;30.6;133.9;7.0;02/09/1950;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Japon
1950243N15304;DOG;ouragan;;42.4;-54.6;7.0;14/09/1950;50000.0;0.3;;False;National Hurricane Center (NOAA) - https://www.nhc.noaa.gov/archive/1950/1950DOG.shtml;Canada
1950247N15145;KEZIA;typhon;;33.6;130.9;7.0;13/09/1950;500000.0;0.7;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Japon
1950251N16319;FOX;ouragan;;29.1;-59.6;7.0;15/09/1950;50000.0;0.3;;False;National Hurricane Center (NHC) - https://www.nhc.noaa.gov/archive/1950/FOX/;Bermudes
1950255N14153;LUCRETIA:NANCY;typhon;;26.9;136.8;7.0;18/09/1950;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Japon
1950256N14137;MISSATHA;typhon;;24.4;133.8;7.0;17/09/1950;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Japon
1950269N05153;OSSIA;typhon;;5.4;153.4;7.0;25/09/1950;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Papouasie-Nouvelle-Guinée
1950270N25309;GEORGE;ouragan;;36.5;-66.6;7.0;04/10/1950;50000.0;0.6;;False;National Hurricane Center (HURDAT2) - https://www.nhc.noaa.gov/data/;États-Unis
1950285N22313;JIG;ouragan;;37.5;-53.5;7.0;16/10/1950;5000.0;0.3;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/;Canada
1950291N20146;PETIE;cyclone;;32.6;151.5;7.0;23/10/1950;50000.0;0.4;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/;Japon
1950301N09138;RUBY;typhon;;13.0;135.9;7.0;28/10/1950;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Philippines
1950305N12145;CLARA;typhon;;27.3;128.3;7.0;11/11/1950;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Japon
1950308N13151;BILLIE;typhon;;27.4;152.3;7.0;08/11/1950;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Japon
1950322N06138;DELILAH;typhon;;6.5;138.3;7.0;18/11/1950;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Philippines
1950360N10141;FRAN;typhon;;13.5;113.6;7.0;01/01/1951;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Philippines
1951077N06158;GEORGIA;typhon;;7.5;165.5;7.0;19/03/1951;5000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Îles Marshall
1951119N06145;IRIS;typhon;;23.1;123.1;7.0;08/05/1951;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Taïwan
1951124N04167;JOAN;typhon;;29.9;159.0;7.0;14/05/1951;50000.0;0.3;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/?storm=1951124N04167;Japon
1951136N32292;ABLE;ouragan;;32.0;-68.0;5.0;16/05/1951;50000.0;0.6;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/?storm=1951136N32292;Bermudes
1951177N12136;KATE;typhon;;34.5;135.0;7.0;02/07/1951;500000.0;0.7;;False;Japan Meteorological Agency (JMA) - Archives historiques - https://www.data.jma.go.jp/obd/stats/data/bosai/report/1951/19510702/19510702.html;Japon
1951214N21307;BAKER;ouragan;;36.1;-59.4;5.0;05/08/1951;50000.0;0.4;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/;États-Unis
1951223N11148;MARGE;typhon;;36.1;126.5;7.0;23/08/1951;500000.0;0.7;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Corée du Sud
1951224N12316;CHARLIE;ouragan;;15.4;-63.6;7.0;16/08/1951;50000.0;0.4;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/?redirect=301ocm;Dominique
1951239N11144;NORA;typhon;;19.5;110.6;7.0;02/09/1951;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Chine
1951239N12334;DOG;ouragan;;14.8;-69.4;7.0;03/09/1951;50000.0;0.4;;False;National Hurricane Center (NOAA) - https://www.nhc.noaa.gov/data/hurdat/hurdat2-1851-2022-050423.txt;République dominicaine
1951244N13328;EASY;ouragan;;40.1;-42.8;5.0;13/09/1951;50000.0;0.7;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/;Canada
1951246N13340;FOX;cyclone;;13.9;-30.0;5.0;04/09/1951;50000.0;0.3;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/;Cap-Vert
1951263N08137;PAT;typhon;;14.7;126.6;7.0;23/09/1951;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Philippines
1951272N20274;HOW;ouragan;;39.7;-65.4;7.0;06/10/1951;500000.0;0.7;;False;National Hurricane Center (NHC) - https://www.nhc.noaa.gov/archive/1951/HOW.shtml;États-Unis
1951281N11147;RUTH;typhon;;27.8;127.5;7.0;14/10/1951;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Japon
1951295N21152;SARAH;ouragan;;21.0;154.0;7.0;22/10/1951;50000.0;0.4;;False;National Hurricane Center (NHC) - https://www.nhc.noaa.gov/archive/1951/SARAH.shtml (estimation basée sur les archives historiques);États-Unis (Hawaï)
1951300N13155;THELMA;typhon;;13.1;154.5;7.0;26/10/1951;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Philippines
1951301N16128;VERA;typhon;;23.6;132.7;7.0;30/10/1951;50000.0;0.4;;False;Japan Meteorological Agency (JMA) - Archives historiques - https://www.data.jma.go.jp/obd/stats/data/bosai/report/1951/19511030/19511030.html;Japon
1951344N09143;BABS;typhon;;18.8;136.1;7.0;15/12/1951;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Philippines
1952162N15118;CHARLOTTE;typhon;;31.1;126.2;7.0;17/06/1952;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Japon
1952171N12130;DINAH;typhon;;26.0;126.6;7.0;22/06/1952;50000.0;0.6;;False;Japan Meteorological Agency (JMA) - Archives historiques - https://www.jma.go.jp/jma/indexe.html;Japon
1952191N23124;FREDA;typhon;;35.2;131.0;7.0;15/07/1952;500000.0;0.6;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Japon
1952206N09134;HARRIET;typhon;;15.1;129.8;7.0;26/07/1952;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Philippines
1952215N13131;JEANNE:JEANNIE;typhon;;15.8;133.3;7.0;04/08/1952;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Philippines
1952217N15127;IVY;typhon;;19.3;135.0;7.0;06/08/1952;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Japon
1952224N14135;KAREN;typhon;;35.6;126.1;7.0;18/08/1952;500000.0;0.6;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Corée du Sud
1952241N08137;MARY;typhon;;22.1;119.7;7.0;01/09/1952;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Taïwan
1952244N15306;BAKER;ouragan;;36.9;-67.1;5.0;07/09/1952;50000.0;0.7;;False;National Hurricane Center (HURDAT2) - https://www.nhc.noaa.gov/data/;États-Unis
1952245N09139;NONA;typhon;;15.1;126.2;7.0;03/09/1952;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Philippines
1952258N18178;OLIVE;typhon;;30.4;155.6;7.0;18/09/1952;5000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Japon
1952268N20291;CHARLIE;ouragan;;33.8;-68.6;7.0;27/09/1952;50000.0;0.7;;False;National Hurricane Center (HURDAT2) - https://www.nhc.noaa.gov/data/;Bermudes
1952269N11157;POLLY;typhon;;30.3;142.0;7.0;30/09/1952;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Japon
1952278N22140;ROSE;typhon;;34.5;146.3;7.0;10/10/1952;50000.0;0.3;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/?storm=1952278N22140;Japon
1952288N10118;SHIRLEY;typhon;;9.8;117.6;7.0;14/10/1952;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Philippines
1952303N09149;AGNES;typhon;;26.9;131.2;7.0;05/11/1952;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Japon
1952312N08150;BESS;typhon;;15.7;140.6;7.0;09/11/1952;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Philippines
1952320N30131;BESS;typhon;;29.6;131.1;7.0;15/11/1952;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Japon
1952321N10146;CARMEN;typhon;;12.5;141.7;7.0;16/11/1952;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Philippines
1952326N07144;DELLA;typhon;;6.7;144.4;7.0;20/11/1952;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Philippines
1952348N08129;FAYE;typhon;;7.5;129.0;7.0;13/12/1952;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Philippines
1952352N07147;GLORIA;typhon;;13.9;107.0;7.0;25/12/1952;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Vietnam
1952363N06171;HESTER;typhon;;8.9;163.9;7.0;29/12/1952;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Philippines
1953049N07167;IRMA;typhon;;11.2;123.7;7.0;25/02/1953;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Philippines
1953148N08150;JUDY;typhon;;25.6;123.9;7.0;06/06/1953;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Japon
1953176N05150;KIT;typhon;;36.5;122.4;7.0;06/07/1953;50000.0;0.6;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Japon
